"Name","Team","Proj minutes","Exp points","Exp 3P","Exp rebounds","Exp assists","Exp steals","Exp blocks","Exp turnovers"
"George Hill","MIL","26","9.54","1.34","3.68","4.18","0.88","0.15","0.96"
"Pat Connaughton","MIL","15","4.23","0.56","3.15","1.74","0.31","0.32","0.36"
"Sterling Brown","MIL","17","5.30","0.83","4.03","1.43","0.42","0.13","0.73"
"Ersan Ilyasova","MIL","17","7.31","0.94","4.94","0.96","0.38","0.29","0.67"
"Robin Lopez","MIL","10","3.56","0.25","1.97","0.49","0.07","0.50","0.59"
"Donte DiVincenzo","MIL","30","10.92","1.52","5.89","3.27","1.40","0.30","1.49"
"Kyle Korver","MIL","16","5.54","1.34","1.50","0.88","0.30","0.15","0.60"
"Chris Paul","OKC","32","16.81","1.63","4.91","6.48","2.10","0.28","2.35"
"Shai Gilgeous-Alexander","OKC","35","18.47","1.59","5.41","2.91","1.48","0.61","2.72"
"Danilo Gallinari","OKC","31","18.80","2.81","6.46","2.18","0.78","0.26","1.47"
"Steven Adams","OKC","28","11.47","0.00","10.93","2.77","1.14","0.84","1.43"
"Terrance Ferguson","OKC","27","6.33","1.24","2.01","1.05","0.59","0.23","0.58"
"Nerlens Noel","OKC","19","8.19","0.00","5.30","1.41","1.20","1.54","0.97"
"Dennis Schroder","OKC","30","18.01","1.74","3.87","3.71","0.88","0.12","2.29"
"Abdel Nader","OKC","20","8.08","1.21","2.15","0.68","0.55","0.33","0.82"
"Darius Bazley","OKC","15","3.38","0.56","3.05","0.48","0.35","0.51","0.77"
"Kyle Lowry","TOR","37","21.02","3.70","5.09","6.97","1.36","0.35","3.89"
"OG Anunoby","TOR","33","13.79","1.72","6.82","1.70","1.12","0.49","1.43"
"Fred VanVleet","TOR","36","20.41","3.35","4.15","6.26","1.26","0.25","2.44"
"Malcolm Miller","TOR","12","3.13","0.52","1.59","0.67","0.16","0.19","0.33"
"Patrick McCaw","TOR","34","7.12","0.99","3.47","2.22","1.70","0.07","1.91"
"Terence Davis","TOR","20","8.89","1.50","3.42","2.17","0.53","0.22","1.19"
"Serge Ibaka","TOR","33","20.38","1.25","10.56","1.77","0.48","1.21","2.29"
"Chris Boucher","TOR","15","6.46","0.57","5.14","0.56","0.43","0.95","0.41"
"Rondae Hollis-Jefferson","TOR","20","8.89","0.11","5.15","1.54","0.65","0.28","1.01"
